id,season,country,comp_level,lg_finish,squad,age,minutes_90s,sca,sca_per90,gca,gca_per90
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,10.9,27,2.48,2,0.18
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,25,0.76,3,0.09
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,10.4,14,1.34,3,0.29
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13.5,12,0.89,1,0.07
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,4.1,2,0.49,0,0
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,32.2,37,1.15,3,0.09
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,30.5,62,2.04,1,0.03
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,27.2,14,0.51,0,0
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,28.8,3,0.1,1,0.03
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,23,50,2.17,2,0.09
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,22.9,65,2.84,10,0.44
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,15.2,42,2.76,5,0.33
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,2.2,6,2.78,0,0
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,30.5,68,2.23,9,0.29
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,35.1,84,2.4,6,0.17
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,15.2,27,1.78,7,0.46
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,28.3,60,2.12,6,0.21
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,11.9,27,2.26,1,0.08
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,22.7,15,0.66,2,0.09
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,0.1,0,0,0,0
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,23,85,3.69,13,0.56
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,33.7,85,2.52,1,0.03
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,20.4,23,1.13,3,0.15
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,16.7,76,4.54,10,0.6
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,7.6,19,2.51,0,0
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,25.9,66,2.54,8,0.31
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,24.1,71,2.95,9,0.37
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,23.3,3,0.13,1,0.04
04e17fd5,2019-2020,ESP,1. La Liga,18th,Leganés,22,15.4,24,1.56,5,0.32
04e17fd5,2019-2020,ESP,1. La Liga,4th,Sevilla,22,8.8,6,0.68,0,0
05439de2,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,27.8,38,1.37,2,0.07
054849d2,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,7.5,5,0.67,0,0
056d2d95,2019-2020,GER,1. Bundesliga,11th,Union Berlin,32,31.8,78,2.45,9,0.28
05d548d8,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,28.7,22,0.77,5,0.17
05e19d6a,2019-2020,ITA,1. Serie A,6th,Milan,22,32.3,72,2.23,4,0.12
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,2.8,4,1.42,0,0
070a3904,2019-2020,ESP,1. La Liga,20th,Espanyol,25,29.5,62,2.1,3,0.1
0728bebe,2019-2020,ITA,1. Serie A,10th,Fiorentina,22,29.7,98,3.3,6,0.2
0745b37d,2019-2020,ENG,1. Premier League,20th,Norwich City,29,32.1,55,1.72,4,0.12
07767f42,2019-2020,ITA,1. Serie A,8th,Sassuolo,34,15.5,21,1.35,0,0
07802f7f,2019-2020,ENG,1. Premier League,11th,Southampton,27,31.2,91,2.92,13,0.42
080440a4,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,30.2,28,0.93,1,0.03
0821331c,2019-2020,ITA,1. Serie A,12th,Bologna,25,24.5,8,0.33,1,0.04
08511d65,2019-2020,ESP,1. La Liga,1st,Real Madrid,33,33.5,20,0.6,2,0.06
08593525,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,14.6,16,1.1,3,0.21
085e71a7,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,31,7,0.23,1,0.03
088ca1bd,2019-2020,GER,1. Bundesliga,8th,Freiburg,29,31.5,67,2.13,2,0.06
08990838,2019-2020,ITA,1. Serie A,4th,Lazio,23,3.6,1,0.27,0,0
08aa9cd1,2019-2020,ITA,1. Serie A,17th,Genoa,20,24.8,43,1.73,6,0.24
08f5afaa,2019-2020,ITA,1. Serie A,6th,Milan,20,35.6,1,0.03,0,0
091795f2,2019-2020,ITA,1. Serie A,12th,Bologna,19,1.4,0,0,0,0
09538fdb,2019-2020,ITA,1. Serie A,13th,Udinese,26,28.5,54,1.89,4,0.14
0959c2a2,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,21.2,43,2.03,8,0.38
099e666f,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,30.2,31,1.03,3,0.1
09a9e921,2019-2020,ESP,1. La Liga,5th,Villarreal,32,7.6,12,1.57,2,0.26
0a3065c8,2019-2020,ITA,1. Serie A,12th,Bologna,26,11.2,16,1.43,0,0
0a3d6d2b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,19,0.1,0,0,0,0
0a3f6cde,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,25,27.4,80,2.91,5,0.18
0a447501,2019-2020,ITA,1. Serie A,17th,Genoa,23,15.4,38,2.47,6,0.39
0a483542,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,18.3,28,1.53,6,0.33
0ab1f153,2019-2020,ITA,1. Serie A,1st,Juventus,31,29.5,104,3.53,10,0.34
0ac94a23,2019-2020,ESP,1. La Liga,9th,Valencia,28,10.3,21,2.04,4,0.39
0ae4e09a,2019-2020,ESP,1. La Liga,12th,Levante,28,25.2,41,1.63,4,0.16
0b33f6ad,2019-2020,ESP,1. La Liga,13th,Valladolid,20,30.3,4,0.13,2,0.07
0b5a292a,2019-2020,ITA,1. Serie A,7th,Napoli,28,21.8,76,3.48,4,0.18
0b90bb97,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,21.6,49,2.27,7,0.32
0ba976e4,2019-2020,ESP,1. La Liga,2nd,Barcelona,16,11.4,38,3.33,3,0.26
0bc4e720,2019-2020,ESP,1. La Liga,9th,Valencia,22,4.6,11,2.37,1,0.22
0c2ac3cb,2019-2020,ESP,1. La Liga,2nd,Barcelona,26,2.1,13,6.29,0,0
0c2ac3cb,2019-2020,ESP,1. La Liga,17th,Celta Vigo,26,23.5,63,2.69,6,0.26
0c61c77c,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,21,22.6,66,2.92,11,0.49
0cc5f4a5,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,1.5,6,4.12,0,0
0ccac09c,2019-2020,ITA,1. Serie A,19th,Brescia,26,35.2,63,1.79,3,0.09
0d077b88,2019-2020,ITA,1. Serie A,8th,Sassuolo,27,10.3,25,2.43,5,0.49
0d422df7,2019-2020,ITA,1. Serie A,9th,Hellas Verona,28,35,3,0.09,0,0
0d4ceb32,2019-2020,ENG,1. Premier League,10th,Burnley,27,9.1,21,2.31,3,0.33
0d55d942,2019-2020,GER,1. Bundesliga,8th,Freiburg,27,23.2,2,0.09,0,0
0d82903c,2019-2020,ITA,1. Serie A,1st,Juventus,28,26.5,71,2.68,6,0.23
0db169ae,2019-2020,ITA,1. Serie A,19th,Brescia,19,33.5,117,3.49,13,0.39
0db5d2c8,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,29,5.5,2,0.36,1,0.18
0dfce079,2019-2020,ITA,1. Serie A,9th,Hellas Verona,23,3,0,0,0,0
0e0102eb,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,0.9,1,1.11,0,0
0e4fef6e,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,3.7,5,1.36,0,0
0e50f929,2019-2020,ESP,1. La Liga,10th,Osasuna,29,12.9,23,1.78,2,0.16
0e7ccfc4,2019-2020,ESP,1. La Liga,20th,Espanyol,28,3,11,3.68,0,0
0ef89a37,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,15.7,78,4.98,11,0.7
0fbecd11,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,16.1,40,2.49,5,0.31
10072610,2019-2020,ENG,1. Premier League,2nd,Manchester City,36,3.9,0,0,0,0
101da2b5,2019-2020,ENG,1. Premier League,2nd,Manchester City,34,26.6,27,1.01,5,0.19
1025db8e,2019-2020,GER,1. Bundesliga,15th,Augsburg,28,18.3,10,0.55,2,0.11
106bca06,2019-2020,GER,1. Bundesliga,12th,Schalke 04,25,15.9,27,1.7,3,0.19
10b9fa99,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,18,0.9,0,0,0,0
10dc46f0,2019-2020,ITA,1. Serie A,16th,Torino,32,36,3,0.08,0,0
10e7f486,2019-2020,ITA,1. Serie A,8th,Sassuolo,21,11.3,29,2.57,3,0.27
111c3236,2019-2020,ENG,1. Premier League,12th,Everton,29,13.2,18,1.36,2,0.15
112521d1,2019-2020,ESP,1. La Liga,20th,Espanyol,21,12.1,23,1.9,2,0.17
119b9a8e,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,12.2,8,0.66,0,0
11b9265b,2019-2020,ESP,1. La Liga,5th,Villarreal,27,16.3,19,1.16,2,0.12
11fd2b75,2019-2020,GER,1. Bundesliga,12th,Schalke 04,26,22.5,17,0.76,2,0.09
1238a3f9,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,10.7,18,1.69,1,0.09
1238a3f9,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,24,5.1,8,1.56,0,0
1265a93a,2019-2020,ENG,1. Premier League,4th,Chelsea,19,16.8,48,2.85,4,0.24
1295552e,2019-2020,ITA,1. Serie A,8th,Sassuolo,20,14.1,31,2.19,4,0.28
129af0db,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,26,23.3,55,2.36,5,0.21
12c50af5,2019-2020,ESP,1. La Liga,17th,Celta Vigo,25,18.1,57,3.15,5,0.28
130a7a3f,2019-2020,ITA,1. Serie A,6th,Milan,24,13.4,66,4.91,6,0.45
13203c45,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,26,26.3,48,1.83,5,0.19
132ac341,2019-2020,ESP,1. La Liga,10th,Osasuna,30,29,10,0.34,0,0
149c5f5d,2019-2020,ITA,1. Serie A,11th,Parma,21,10.5,15,1.42,1,0.09
149c5f5d,2019-2020,ITA,1. Serie A,13th,Udinese,21,0.9,3,3.38,0,0
14b8fcdf,2019-2020,ITA,1. Serie A,1st,Juventus,25,7.7,3,0.39,1,0.13
157d29b6,2019-2020,ITA,1. Serie A,18th,Lecce,29,9.2,37,4.04,4,0.44
15b287da,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,22,21.9,87,3.98,11,0.5
15d0c248,2019-2020,ITA,1. Serie A,4th,Lazio,22,22.5,15,0.67,6,0.27
15ea812b,2019-2020,ENG,1. Premier League,10th,Burnley,26,38,27,0.71,7,0.18
15f3ec41,2019-2020,ENG,1. Premier League,4th,Chelsea,18,9.6,45,4.69,6,0.63
162efffd,2019-2020,ITA,1. Serie A,13th,Udinese,25,31.4,141,4.5,16,0.51
16657b95,2019-2020,ITA,1. Serie A,5th,Roma,24,18,42,2.34,5,0.28
16aa3654,2019-2020,ESP,1. La Liga,19th,Mallorca,18,25.7,91,3.54,18,0.7
16b9d5cf,2019-2020,ITA,1. Serie A,7th,Napoli,27,20,13,0.65,1,0.05
16bb656a,2019-2020,ITA,1. Serie A,9th,Hellas Verona,24,7.7,5,0.65,0,0
16ceb862,2019-2020,ENG,1. Premier League,4th,Chelsea,32,11,20,1.81,4,0.36
16daec92,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,24,11.6,31,2.66,3,0.26
16e9d0ea,2019-2020,ESP,1. La Liga,15th,Betis,26,25.2,58,2.3,5,0.2
173061c0,2019-2020,ITA,1. Serie A,11th,Parma,29,28.9,47,1.62,7,0.24
17376543,2019-2020,GER,1. Bundesliga,11th,Union Berlin,31,33,4,0.12,0,0
174651c8,2019-2020,ESP,1. La Liga,8th,Getafe,29,10.5,18,1.72,0,0
1770bd68,2019-2020,ITA,1. Serie A,13th,Udinese,25,27.3,72,2.64,2,0.07
178ae8f8,2019-2020,ENG,1. Premier League,7th,Wolves,22,25.4,91,3.59,6,0.24
17f3620a,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,10.1,21,2.08,5,0.5
17f3620a,2019-2020,ITA,1. Serie A,6th,Milan,24,13.1,28,2.13,3,0.23
1840e36d,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34,1,0.03,0,0
1880614f,2019-2020,ITA,1. Serie A,5th,Roma,22,9.7,48,4.95,2,0.21
18abe173,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,27.8,13,0.47,2,0.07
18b896d6,2019-2020,ENG,1. Premier League,4th,Chelsea,26,19,9,0.47,0,0
1900032e,2019-2020,ENG,1. Premier League,11th,Southampton,26,16.6,6,0.36,1,0.06
1961b2aa,2019-2020,ENG,1. Premier League,12th,Everton,26,16.2,29,1.79,2,0.12
19709006,2019-2020,ESP,1. La Liga,18th,Leganés,21,21.3,69,3.24,5,0.24
197640fd,2019-2020,ITA,1. Serie A,3rd,Atalanta,23,19.7,45,2.29,7,0.36
19b776e9,2019-2020,ESP,1. La Liga,9th,Valencia,27,1.9,6,3.18,0,0
19e4eab9,2019-2020,ITA,1. Serie A,13th,Udinese,23,24.6,10,0.41,2,0.08
1ae30132,2019-2020,ENG,1. Premier League,10th,Burnley,34,21,20,0.95,1,0.05
1ae836b1,2019-2020,GER,1. Bundesliga,14th,Köln,21,6.9,19,2.74,7,1.01
1b84dbe1,2019-2020,ENG,1. Premier League,12th,Everton,26,33.7,104,3.09,10,0.3
1bacc518,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,23.5,52,2.21,9,0.38
1bda5842,2019-2020,ESP,1. La Liga,6th,Real Sociedad,27,26.6,70,2.63,12,0.45
1bf33a9a,2019-2020,ENG,1. Premier League,4th,Chelsea,20,19.1,79,4.13,13,0.68
1bf811d4,2019-2020,ENG,1. Premier League,20th,Norwich City,25,14.4,20,1.39,0,0
1c7012b8,2019-2020,ENG,1. Premier League,16th,West Ham,20,38,47,1.24,7,0.18
1cadaf34,2019-2020,ITA,1. Serie A,3rd,Atalanta,18,0.2,1,5.29,0,0
1cb49278,2019-2020,ENG,1. Premier League,4th,Chelsea,23,19.5,11,0.57,1,0.05
1cbe4984,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,24,4.2,15,3.55,1,0.24
1d0bb7e4,2019-2020,ITA,1. Serie A,3rd,Atalanta,19,3.1,2,0.64,0,0
1d1691ad,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,1.7,5,2.96,0,0
1d1691ad,2019-2020,ESP,1. La Liga,1st,Real Madrid,23,3.8,10,2.62,2,0.52
1d8e9add,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,27,10.7,4,0.37,0,0
1d8e9add,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,27,12.3,7,0.57,0,0
1daec722,2019-2020,ESP,1. La Liga,8th,Getafe,21,36,93,2.59,9,0.25
1ea5f91c,2019-2020,ITA,1. Serie A,15th,Sampdoria,23,23.3,67,2.88,7,0.3
1ecb65be,2019-2020,ENG,1. Premier League,12th,Everton,30,14.3,32,2.24,4,0.28
1ef37668,2019-2020,ENG,1. Premier League,10th,Burnley,30,20.9,24,1.15,4,0.19
1f079188,2019-2020,ESP,1. La Liga,5th,Villarreal,28,21.2,29,1.37,4,0.19
1f44ac21,2019-2020,GER,1. Bundesliga,2nd,Dortmund,19,11.8,25,2.12,7,0.59
1fb1c435,2019-2020,ESP,1. La Liga,9th,Valencia,28,20.9,44,2.11,12,0.57
1fca9171,2019-2020,ITA,1. Serie A,20th,SPAL,25,12,41,3.41,2,0.17
1fda91b3,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,17,0.6,0,0,0,0
1fe0492d,2019-2020,ESP,1. La Liga,16th,Alavés,23,29.6,37,1.25,6,0.2
1fe67e86,2019-2020,ESP,1. La Liga,11th,Athletic Club,31,6.3,2,0.32,0,0
20030c06,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,26,9.5,13,1.37,0,0
200e89e1,2019-2020,ESP,1. La Liga,6th,Real Sociedad,17,4.9,19,3.87,0,0
20730eae,2019-2020,ITA,1. Serie A,6th,Milan,20,15.6,59,3.78,7,0.45
20b3a502,2019-2020,ITA,1. Serie A,12th,Bologna,21,7.8,20,2.58,1,0.13
20b9f052,2019-2020,ITA,1. Serie A,5th,Roma,24,32,2,0.06,0,0
21166ff4,2019-2020,ENG,1. Premier League,5th,Leicester City,23,33.7,14,0.42,0,0
2146785a,2019-2020,ITA,1. Serie A,6th,Milan,22,18,28,1.55,5,0.28
21512407,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,28,22,69,3.14,8,0.36
217875a4,2019-2020,ITA,1. Serie A,14th,Cagliari,19,12.9,5,0.39,0,0
217c93a1,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,17,0.4,0,0,0,0
21a66f6a,2019-2020,ENG,1. Premier League,6th,Tottenham,26,28.7,54,1.88,6,0.21
2200181e,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,30.3,31,1.02,3,0.1
228b0d9d,2019-2020,ESP,1. La Liga,6th,Real Sociedad,21,10.9,8,0.73,1,0.09
228f73ae,2019-2020,ITA,1. Serie A,7th,Napoli,25,2,10,5.11,0,0
22919e97,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,26,8.3,20,2.41,4,0.48
229cd98a,2019-2020,GER,1. Bundesliga,15th,Augsburg,21,4.1,7,1.72,4,0.98
230a2fac,2019-2020,ITA,1. Serie A,7th,Napoli,25,33,62,1.88,5,0.15
2327c29e,2019-2020,ESP,1. La Liga,12th,Levante,27,7.3,22,3.03,0,0
2334478a,2019-2020,ITA,1. Serie A,17th,Genoa,26,13.9,28,2.01,4,0.29
240d3a0b,2019-2020,ESP,1. La Liga,11th,Athletic Club,29,33.7,25,0.74,1,0.03
246d153b,2019-2020,ITA,1. Serie A,16th,Torino,22,23.1,46,1.99,7,0.3
24f59bb2,2019-2020,ESP,1. La Liga,2nd,Barcelona,22,11.3,15,1.33,3,0.27
253a06b9,2019-2020,ESP,1. La Liga,10th,Osasuna,25,17.7,50,2.83,7,0.4
254147d4,2019-2020,ENG,1. Premier League,11th,Southampton,21,10.3,40,3.88,6,0.58
25ab9c9c,2019-2020,GER,1. Bundesliga,8th,Freiburg,28,15.2,17,1.12,1,0.07
2628fd2b,2019-2020,ENG,1. Premier League,8th,Arsenal,27,29.4,1,0.03,0,0
2691c772,2019-2020,ENG,1. Premier League,10th,Burnley,29,15,21,1.4,2,0.13
26db8853,2019-2020,ITA,1. Serie A,13th,Udinese,24,12.7,23,1.82,1,0.08
26f6dca8,2019-2020,ENG,1. Premier League,16th,West Ham,26,15.3,58,3.79,5,0.33
271b8617,2019-2020,GER,1. Bundesliga,11th,Union Berlin,23,19.1,28,1.47,4,0.21
2784f898,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,11.4,4,0.35,0,0
27a013f7,2019-2020,ESP,1. La Liga,17th,Celta Vigo,27,32.1,7,0.22,3,0.09
27c01749,2019-2020,ENG,1. Premier League,15th,Brighton,19,14,25,1.79,5,0.36
282f75f3,2019-2020,ENG,1. Premier League,15th,Brighton,27,35.9,26,0.72,3,0.08
28a15394,2019-2020,ITA,1. Serie A,16th,Torino,36,1,0,0,0,0
28d596a0,2019-2020,ENG,1. Premier League,4th,Chelsea,24,33,1,0.03,0,0
291e3ec3,2019-2020,ENG,1. Premier League,20th,Norwich City,18,2.5,1,0.39,0,0
2928dca2,2019-2020,ENG,1. Premier League,7th,Wolves,26,38,13,0.34,0,0
2946f9a1,2019-2020,ESP,1. La Liga,1st,Real Madrid,29,4.9,7,1.44,0,0
29733c72,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,31,8.4,38,4.51,2,0.24
2979c05a,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,24,11.8,19,1.61,1,0.08
29b61deb,2019-2020,ESP,1. La Liga,16th,Alavés,26,12.1,10,0.83,2,0.17
2a0c8ba4,2019-2020,ESP,1. La Liga,4th,Sevilla,25,25,71,2.83,7,0.28
2a1beb34,2019-2020,ITA,1. Serie A,3rd,Atalanta,28,30.2,64,2.12,10,0.33
2a29eb9b,2019-2020,GER,1. Bundesliga,8th,Freiburg,26,2.3,1,0.43,1,0.43
2a6cd437,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,21,10.3,4,0.39,0,0
2acd49b9,2019-2020,ENG,1. Premier League,6th,Tottenham,29,27.2,28,1.03,2,0.07
2b09d998,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,20,10.6,18,1.7,2,0.19
2b16cb1a,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,22,20.7,88,4.25,10,0.48
2b622f01,2019-2020,ENG,1. Premier League,6th,Tottenham,26,24.9,87,3.49,8,0.32
2b91cf8e,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,29,13.2,1,0.08,0,0
2baec6ce,2019-2020,ENG,1. Premier League,3rd,Manchester Utd,21,2.1,2,0.95,0,0
2bd83368,2019-2020,ENG,1. Premier League,12th,Everton,18,4.9,9,1.84,1,0.2
2bed3eab,2019-2020,ENG,1. Premier League,2nd,Manchester City,18,8.8,3,0.34,0,0
2bef2bca,2019-2020,ESP,1. La Liga,2nd,Barcelona,20,2.6,0,0,0,0
2c0558b8,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,16,0,0,0,0,0
2c0f8e9e,2019-2020,ITA,1. Serie A,2nd,Inter,30,10.3,66,6.44,14,1.37
2ce2508a,2019-2020,ENG,1. Premier League,14th,Crystal Palace,28,27.9,46,1.65,3,0.11
2cfae697,2019-2020,ITA,1. Serie A,12th,Bologna,22,12,24,2,0,0
2d5f03bf,2019-2020,ENG,1. Premier League,20th,Norwich City,26,15.9,4,0.25,0,0
2d61d13a,2019-2020,GER,1. Bundesliga,12th,Schalke 04,19,19.7,9,0.46,2,0.1
